500.0	58	0.65	3	5625706.0	29.1323451996	83.9243498818
700.0	58	0.65	3	10583087.0	41.1038742065	88.1205673759
900.0	58	0.65	3	16670033.0	51.8540382385	90.6382978723
500.0	70	0.65	3	4132537.75	27.3403396606	107.902735562
700.0	70	0.65	3	8309604.0	38.5180130005	105.744680851
900.0	70	0.65	3	13828574.0	49.2757034302	104.582651391
500.0	58	1.00	3	4865734.5	37.9342651367	83.9243498818
700.0	58	1.00	3	8974794.0	52.5154075623	88.1205673759
900.0	58	1.00	3	14330121.0	66.7351303101	90.6382978723
500.0	70	1.00	3	3665155.25	36.354095459	107.902735562
700.0	70	1.00	3	7105254.5	49.5458641052	105.744680851
900.0	70	1.00	3	12124579.0	65.0292510986	104.582651391
500.0	58	1.25	3	3335746.75	34.0863075256	83.9243498818
700.0	58	1.25	3	6192938.5	47.0580978394	88.1205673759
900.0	58	1.25	3	9958434.0	60.5308799744	90.6382978723
500.0	70	1.25	3	2606743.5	33.778881073	107.902735562
700.0	70	1.25	3	5177700.0	47.8319358826	105.744680851
900.0	70	1.25	3	8656932.0	61.0249328613	104.582651391
500.0	58	0.65	4	4982469.0	26.0309524536	83.9243498818
700.0	58	0.65	4	9053748.0	35.588218689	88.1205673759
900.0	58	0.65	4	14571561.0	45.1839294434	90.6382978723
500.0	70	0.65	4	3576702.75	24.2085494995	107.902735562
700.0	70	0.65	4	7358898.0	34.1270523071	105.744680851
900.0	70	0.65	4	11788016.0	43.6076431274	104.582651391
500.0	58	1.00	4	4554954.5	35.4401702881	83.9243498818
700.0	58	1.00	4	8128142.5	47.3420295715	88.1205673759
900.0	58	1.00	4	13158688.0	61.3410339355	90.6382978723
500.0	70	1.00	4	3241899.75	32.1993713379	107.902735562
700.0	70	1.00	4	6373936.5	44.5453796387	105.744680851
900.0	70	1.00	4	10701573.0	57.7234535217	104.582651391
500.0	58	1.25	4	3269500.75	33.0951576233	83.9243498818
700.0	58	1.25	4	6020514.5	45.0930480957	88.1205673759
900.0	58	1.25	4	9777493.0	58.8540039062	90.6382978723
500.0	70	1.25	4	2496822.75	31.1446914673	107.902735562
700.0	70	1.25	4	4985355.5	44.0173301697	105.744680851
900.0	70	1.25	4	8400347.0	57.0972709656	104.582651391
500.0	58	0.65	5	4531788.5	24.7521896362	83.9243498818
700.0	58	0.65	5	8140806.0	33.8570365906	88.1205673759
900.0	58	0.65	5	12630036.0	41.7916755676	90.6382978723
500.0	70	0.65	5	3161856.25	23.1987781525	107.902735562
700.0	70	0.65	5	6417545.5	32.8579902649	105.744680851
900.0	70	0.65	5	10664361.0	42.5273475647	104.582651391
500.0	58	1.00	5	4126211.5	32.1739730835	83.9243498818
700.0	58	1.00	5	7400331.5	43.4513282776	88.1205673759
900.0	58	1.00	5	11412761.0	53.8793296814	90.6382978723
500.0	70	1.00	5	2840899.5	28.5906219482	107.902735562
700.0	70	1.00	5	5661079.0	40.0106124878	105.744680851
900.0	70	1.00	5	9216875.0	50.3177947998	104.582651391
500.0	58	1.25	5	3176238.0	31.491355896	83.9243498818
700.0	58	1.25	5	5901915.5	43.7175369263	88.1205673759
900.0	58	1.25	5	9320637.0	54.7985534668	90.6382978723
500.0	70	1.25	5	2405325.0	30.0285224915	107.902735562
700.0	70	1.25	5	4682954.0	40.8955612183	105.744680851
900.0	70	1.25	5	7913537.0	53.2113609314	104.582651391
